rabbitmq-3-1  | 2026-08-30 17:17:10.598554+00:00 [info] <0.2277.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:20.092337+00:00 [info] <0.2338.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:30.297409+00:00 [info] <0.2399.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.782633+00:00 [info] <0.2410.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': granting vote for {'%2F_atlas.1788110255840602000.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.793177+00:00 [info] <0.2410.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788110255840602000.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.941934+00:00 [info] <0.2415.0> rabbit_stream_coordinator: started writer __atlas_1788110255840602000_stream_1788110257852430109 on 'rabbit@rabbitmq-1' in 1[0m
rabbitmq-3-1  | 2026-08-30 17:17:37.993656+00:00 [info] <0.2419.0> Stream: __atlas_1788110255840602000_stream_1788110257852430109 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/stream/__atlas_1788110255840602000_stream_1788110257852430109 for osiris log data directory[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.023318+00:00 [info] <0.2419.0> __atlas_1788110255840602000_stream_1788110257852430109 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.033678+00:00 [info] <0.2416.0> rabbit_stream_coordinator: __atlas_1788110255840602000_stream_1788110257852430109: replica started on rabbit@rabbitmq-2 in 1 pid <15328.2380.0>[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.041649+00:00 [info] <0.2417.0> rabbit_stream_coordinator: __atlas_1788110255840602000_stream_1788110257852430109: replica started on rabbit@rabbitmq-3 in 1 pid <0.2419.0>[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.198801+00:00 [info] <0.2421.0> rabbit_stream_coordinator: Member deleted for __atlas_1788110255840602000_stream_1788110257852430109 : on node rabbit@rabbitmq-2[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.202906+00:00 [info] <0.2423.0> rabbit_stream_coordinator: Member deleted for __atlas_1788110255840602000_stream_1788110257852430109 : on node rabbit@rabbitmq-3[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.203165+00:00 [info] <0.2422.0> rabbit_stream_coordinator: Member deleted for __atlas_1788110255840602000_stream_1788110257852430109 : on node rabbit@rabbitmq-1[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 17:17:38.271544+00:00 [notice] <0.2410.0> queue 'atlas.1788110255840602000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-3-1  | 2026-08-30 17:17:38.299936+00:00 [info] <0.2426.0> Deleting server '%2F_atlas.1788110255840602000.quorum' and its data directory.[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.318746+00:00 [info] <0.2439.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING' for vhost 'atlas-secops-1788110260152515000' exists[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.324865+00:00 [info] <0.2439.0> Setting segment_entry_count for vhost 'atlas-secops-1788110260152515000' with 0 queues to '2048'[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.340460+00:00 [info] <0.2439.0> Starting message stores for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.346732+00:00 [info] <0.2439.0> Started message store of type transient for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:17:40.349133+00:00 [warning] <0.2450.0> Message store "6PARKAWUERUS1P6UOYN1I5ING/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.351097+00:00 [info] <0.2439.0> Started message store of type persistent for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.351528+00:00 [info] <0.2439.0> Recovering 0 queues of type rabbit_classic_queue took 20ms[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.352020+00:00 [info] <0.2439.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 17:17:40.352208+00:00 [info] <0.2439.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 17:17:46.418829+00:00 [info] <0.2471.0> accepting AMQP connection 172.29.0.1:24941 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:17:46.427980+00:00 [warning] <0.2471.0> User 'atlas-secops-1788110260152515000-user' failed to authenticate: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:46.428228+00:00 [error] <0.2471.0> Error on AMQP connection <0.2471.0> (172.29.0.1:24941 -> 172.29.0.2:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:46.428228+00:00 [error] <0.2471.0> PLAIN login refused: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 17:17:49.416215+00:00 [info] <0.2471.0> closing AMQP connection (172.29.0.1:24941 -> 172.29.0.2:5672, duration: '2s')[0m
rabbitmq-3-1  | 2026-08-30 17:17:49.451372+00:00 [info] <0.2479.0> accepting AMQP connection 172.29.0.1:58484 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | 2026-08-30 17:17:49.453931+00:00 [info] <0.2479.0> User 'atlas-secops-1788110260152515000-user' authenticated successfully[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:49.455630+00:00 [error] <0.2479.0> Error on AMQP connection <0.2479.0> (172.29.0.1:58484 -> 172.29.0.2:5672, user: 'atlas-secops-1788110260152515000-user', state: opening):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:49.455630+00:00 [error] <0.2479.0> access to vhost '/' refused for user 'atlas-secops-1788110260152515000-user'[0m
rabbitmq-3-1  | 2026-08-30 17:17:49.456649+00:00 [info] <0.2479.0> closing AMQP connection (172.29.0.1:58484 -> 172.29.0.2:5672, vhost: 'none', user: 'atlas-secops-1788110260152515000-user', duration: '5ms')[0m
rabbitmq-3-1  | 2026-08-30 17:17:55.536279+00:00 [info] <0.2490.0> accepting AMQP connection 172.29.0.1:50849 -> 172.29.0.2:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:17:55.543756+00:00 [warning] <0.2490.0> User 'atlas-secops-1788110260152515000-user' failed to authenticate: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:55.543953+00:00 [error] <0.2490.0> Error on AMQP connection <0.2490.0> (172.29.0.1:50849 -> 172.29.0.2:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 17:17:55.543953+00:00 [error] <0.2490.0> PLAIN login refused: user 'atlas-secops-1788110260152515000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.533397+00:00 [info] <0.2490.0> closing AMQP connection (172.29.0.1:50849 -> 172.29.0.2:5672, duration: '2s')[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.619364+00:00 [info] <0.2498.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.792375+00:00 [info] <0.2508.0> Stopping vhost supervisor <0.2438.0> for vhost 'atlas-secops-1788110260152515000'[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.792690+00:00 [info] <0.2439.0> Virtual host 'atlas-secops-1788110260152515000' is stopping[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.793029+00:00 [info] <0.2450.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_persistent'[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.793091+00:00 [info] <0.2509.0> Closing all connections in vhost 'atlas-secops-1788110260152515000' on node 'rabbit@rabbitmq-3' because the vhost is stopping[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.800828+00:00 [info] <0.2450.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_persistent' is stopped[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.801266+00:00 [info] <0.2446.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_transient'[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.807110+00:00 [info] <0.2446.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING/msg_store_transient' is stopped[0m
rabbitmq-3-1  | 2026-08-30 17:17:58.808460+00:00 [info] <0.2508.0> Deleting message store directory for vhost 'atlas-secops-1788110260152515000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/6PARKAWUERUS1P6UOYN1I5ING'[0m
rabbitmq-3-1  | 2026-08-30 17:18:05.605090+00:00 [info] <0.2534.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 17:18:05.621497+00:00 [info] <0.2539.0> User 'atlas-scenario-20260830t171233z40300' authenticated successfully[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 17:18:05.621698+00:00 [warning] <0.2539.0> HTTP access denied: user 'atlas-scenario-20260830t171233z40300' - Not management user[0m
rabbitmq-3-1  | 2026-08-30 17:18:09.862664+00:00 [info] <0.2597.0> User 'atlas' authenticated successfully[0m
